ref_date,geo,value,mom_pct
2019-03-01,Canada,53627744,NA
2019-03-01,Newfoundland and Labrador,787285,NA
2019-03-01,Prince Edward Island,215656,NA
2019-03-01,Nova Scotia,1413303,NA
2019-03-01,New Brunswick,1127838,NA
2019-03-01,Quebec,11428147,NA
2019-03-01,Ontario,20332648,NA
2019-03-01,Manitoba,1798062,NA
2019-03-01,Saskatchewan,1695987,NA
2019-03-01,Alberta,7004759,NA
2019-03-01,British Columbia,7637540,NA
2019-04-01,Canada,53786070,0.2952315130019256
2019-04-01,Newfoundland and Labrador,736408,-6.462335748807613
2019-04-01,Prince Edward Island,215172,-0.224431502021738
2019-04-01,Nova Scotia,1409972,-0.23568902068417108
2019-04-01,New Brunswick,1114457,-1.1864292566840295
2019-04-01,Quebec,11247295,-1.582513770605154
2019-04-01,Ontario,20709633,1.854087082017064
2019-04-01,Manitoba,1810109,0.669999143522304
2019-04-01,Saskatchewan,1718868,1.3491259072150985
2019-04-01,Alberta,7094556,1.2819427477804624
2019-04-01,British Columbia,7542317,-1.2467757943002589
2019-05-01,Canada,54093066,0.5707723207886373
2019-05-01,Newfoundland and Labrador,741629,0.7089819773820949
2019-05-01,Prince Edward Island,208062,-3.3043332775639978
2019-05-01,Nova Scotia,1394098,-1.1258379599027535
2019-05-01,New Brunswick,1104408,-0.9016947266695774
2019-05-01,Quebec,11467525,1.9580708072474362
2019-05-01,Ontario,20829825,0.580367599947329
2019-05-01,Manitoba,1790053,-1.1079995735063464
2019-05-01,Saskatchewan,1706809,-0.7015663797336424
2019-05-01,Alberta,7032082,-0.8805906951752873
2019-05-01,British Columbia,7631488,1.1822759504804603
2019-06-01,Canada,53802084,-0.5379284657297867
2019-06-01,Newfoundland and Labrador,759945,2.469698461090375
2019-06-01,Prince Edward Island,213808,2.76167680787458
2019-06-01,Nova Scotia,1413255,1.3741501673483425
2019-06-01,New Brunswick,1121287,1.5283301098869329
2019-06-01,Quebec,11312376,-1.3529423306249622
2019-06-01,Ontario,20895556,0.3155619406308041
2019-06-01,Manitoba,1783362,-0.37378781522111604
2019-06-01,Saskatchewan,1648872,-3.394463000839576
2019-06-01,Alberta,6959217,-1.036179612240018
2019-06-01,British Columbia,7510125,-1.59029274500595
2019-07-01,Canada,54381960,1.0777946817078776
2019-07-01,Newfoundland and Labrador,780380,2.6890103889097183
2019-07-01,Prince Edward Island,222219,3.9339033151238434
2019-07-01,Nova Scotia,1445191,2.2597478869701426
2019-07-01,New Brunswick,1099595,-1.9345626944751837
2019-07-01,Quebec,11435129,1.0851212866333393
2019-07-01,Ontario,21159166,1.2615601135475885
2019-07-01,Manitoba,1798179,0.8308464574214414
2019-07-01,Saskatchewan,1683092,2.075358184261722
2019-07-01,Alberta,7022772,0.9132492922695246
2019-07-01,British Columbia,7551448,0.5502305221284587
2019-08-01,Canada,54350184,-0.05843114150354545
2019-08-01,Newfoundland and Labrador,780742,0.04638765729516603
2019-08-01,Prince Edward Island,226375,1.8702271182932106
2019-08-01,Nova Scotia,1417554,-1.9123423824255803
2019-08-01,New Brunswick,1144392,4.073954501430066
2019-08-01,Quebec,11394962,-0.35125970157398045
2019-08-01,Ontario,21038507,-0.5702445928161826
2019-08-01,Manitoba,1780389,-0.9893342097755609
2019-08-01,Saskatchewan,1700700,1.0461697875101317
2019-08-01,Alberta,7003906,-0.2686403602452092
2019-08-01,British Columbia,7674922,1.63510362515904
2019-09-01,Canada,54363245,0.02403119739207149
2019-09-01,Newfoundland and Labrador,779402,-0.17163160173271352
2019-09-01,Prince Edward Island,219114,-3.2075096631695166
2019-09-01,Nova Scotia,1429428,0.8376400475749168
2019-09-01,New Brunswick,1110824,-2.9332606309726006
2019-09-01,Quebec,11533892,1.2192230215423372
2019-09-01,Ontario,21167994,0.6154761837425138
2019-09-01,Manitoba,1764511,-0.8918275725136482
2019-09-01,Saskatchewan,1706608,0.3473863703181035
2019-09-01,Alberta,6851074,-2.1820966757692073
2019-09-01,British Columbia,7613130,-0.8051156741397447
2019-10-01,Canada,53625470,-1.357120973922732
2019-10-01,Newfoundland and Labrador,802997,3.0273209460586425
2019-10-01,Prince Edward Island,216052,-1.3974460782971376
2019-10-01,Nova Scotia,1401457,-1.9567967046958623
2019-10-01,New Brunswick,1147604,3.311055576761035
2019-10-01,Quebec,11370798,-1.4140413314083444
2019-10-01,Ontario,20499721,-3.1569973045154853
