ref_date,sector,value,yoy_pct
2019-03-01,All Retail Trade,7546738,NA
2019-03-01,Motor vehicle and parts dealers,2000289,NA
2019-03-01,Building material and garden equipment and supplies dealers,435464,NA
2019-03-01,Food and beverage retailers,1618155,NA
2019-03-01,"Furniture, home furnishings stores, electronics and appliances retailers",430793,NA
2019-03-01,General merchandise retailers,720979,NA
2019-03-01,Health and personal care retailers,578954,NA
2019-03-01,Gasoline stations and fuel vendors,793975,NA
2019-03-01,Clothing and clothing accessories retailers,395162,NA
2019-03-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",190544,NA
2019-03-01,Miscellaneous retailers,279909,NA
2019-04-01,All Retail Trade,7478757,NA
2019-04-01,Motor vehicle and parts dealers,1892675,NA
2019-04-01,Building material and garden equipment and supplies dealers,512440,NA
2019-04-01,Food and beverage retailers,1585787,NA
2019-04-01,"Furniture, home furnishings stores, electronics and appliances retailers",447217,NA
2019-04-01,General merchandise retailers,772985,NA
2019-04-01,Health and personal care retailers,553415,NA
2019-04-01,Gasoline stations and fuel vendors,792412,NA
2019-04-01,Clothing and clothing accessories retailers,369309,NA
2019-04-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",199196,NA
2019-04-01,Miscellaneous retailers,262047,NA
2019-05-01,All Retail Trade,8221289,NA
2019-05-01,Motor vehicle and parts dealers,2024647,NA
2019-05-01,Building material and garden equipment and supplies dealers,612521,NA
2019-05-01,Food and beverage retailers,1754966,NA
2019-05-01,"Furniture, home furnishings stores, electronics and appliances retailers",464873,NA
2019-05-01,General merchandise retailers,839080,NA
2019-05-01,Health and personal care retailers,564500,NA
2019-05-01,Gasoline stations and fuel vendors,918472,NA
2019-05-01,Clothing and clothing accessories retailers,436435,NA
2019-05-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",204724,NA
2019-05-01,Miscellaneous retailers,300105,NA
2019-06-01,All Retail Trade,7857997,NA
2019-06-01,Motor vehicle and parts dealers,1868381,NA
2019-06-01,Building material and garden equipment and supplies dealers,536062,NA
2019-06-01,Food and beverage retailers,1740553,NA
2019-06-01,"Furniture, home furnishings stores, electronics and appliances retailers",452546,NA
2019-06-01,General merchandise retailers,821180,NA
2019-06-01,Health and personal care retailers,556655,NA
2019-06-01,Gasoline stations and fuel vendors,830903,NA
2019-06-01,Clothing and clothing accessories retailers,424455,NA
2019-06-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",211744,NA
2019-06-01,Miscellaneous retailers,316227,NA
2019-07-01,All Retail Trade,7967639,NA
2019-07-01,Motor vehicle and parts dealers,1916312,NA
2019-07-01,Building material and garden equipment and supplies dealers,528305,NA
2019-07-01,Food and beverage retailers,1714870,NA
2019-07-01,"Furniture, home furnishings stores, electronics and appliances retailers",463221,NA
2019-07-01,General merchandise retailers,804008,NA
2019-07-01,Health and personal care retailers,595506,NA
2019-07-01,Gasoline stations and fuel vendors,895303,NA
2019-07-01,Clothing and clothing accessories retailers,419766,NA
2019-07-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",224856,NA
2019-07-01,Miscellaneous retailers,311832,NA
2019-08-01,All Retail Trade,8155044,NA
2019-08-01,Motor vehicle and parts dealers,1950564,NA
2019-08-01,Building material and garden equipment and supplies dealers,470107,NA
2019-08-01,Food and beverage retailers,1836874,NA
2019-08-01,"Furniture, home furnishings stores, electronics and appliances retailers",509486,NA
2019-08-01,General merchandise retailers,813376,NA
2019-08-01,Health and personal care retailers,585996,NA
2019-08-01,Gasoline stations and fuel vendors,871470,NA
2019-08-01,Clothing and clothing accessories retailers,424102,NA
2019-08-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",231887,NA
2019-08-01,Miscellaneous retailers,348336,NA
2019-09-01,All Retail Trade,7548892,NA
2019-09-01,Motor vehicle and parts dealers,1803661,NA
2019-09-01,Building material and garden equipment and supplies dealers,475310,NA
2019-09-01,Food and beverage retailers,1572857,NA
2019-09-01,"Furniture, home furnishings stores, electronics and appliances retailers",482659,NA
2019-09-01,General merchandise retailers,784498,NA
2019-09-01,Health and personal care retailers,572407,NA
2019-09-01,Gasoline stations and fuel vendors,798390,NA
2019-09-01,Clothing and clothing accessories retailers,404936,NA
2019-09-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",223771,NA
2019-09-01,Miscellaneous retailers,334207,NA
2019-10-01,All Retail Trade,7734984,NA
2019-10-01,Motor vehicle and parts dealers,1855307,NA
2019-10-01,Building material and garden equipment and supplies dealers,472009,NA
2019-10-01,Food and beverage retailers,1646297,NA
2019-10-01,"Furniture, home furnishings stores, electronics and appliances retailers",459919,NA
2019-10-01,General merchandise retailers,823276,NA
2019-10-01,Health and personal care retailers,586037,NA
2019-10-01,Gasoline stations and fuel vendors,825915,NA
2019-10-01,Clothing and clothing accessories retailers,420577,NA
2019-10-01,"Sporting goods, hobby, musical instrument, book retailers and news dealers",210645,NA
2019-10-01,Miscellaneous retailers,339084,NA
2019-11-01,All Retail Trade,7817732,NA
2019-11-01,Motor vehicle and parts dealers,1741125,NA
2019-11-01,Building material and garden equipment and supplies dealers,439996,NA
2019-11-01,Food and beverage retailers,1631352,NA
2019-11-01,"Furniture, home furnishings stores, electronics and appliances retailers",598708,NA
2019-11-01,General merchandise retailers,866979,NA
2019-11-01,Health and personal care retailers,595390,NA
2019-11-01,Gasoline stations and fuel vendors,742707,NA
